0	0	0	0	0	0
256	0	0	246	3	0
512	0	0	492	8	0
768	0	0	726	12	0
1024	0	0	965	17	0
1280	0	0	1203	21	0
1536	0	0	1434	26	0
1792	0	0	1657	30	0
2048	0	0	1896	35	0
2303	0	0	2138	39	0
2559	0	0	2361	44	0
2815	0	0	2597	48	0
3071	0	0	2821	53	0
3327	0	0	3059	57	0
3583	0	0	3274	62	0
3839	0	0	3499	67	0
4095	0	0	3767	70	0
0	256	0	0	227	3
256	256	0	246	230	4
512	256	0	496	234	3
768	256	0	732	238	3
1024	256	0	975	242	3
1280	256	0	1212	246	3
1536	256	0	1448	250	3
1792	256	0	1671	255	3
2048	256	0	1908	260	2
2303	256	0	2149	264	2
2559	256	0	2377	268	2
2815	256	0	2610	273	2
3071	256	0	2836	277	3
3327	256	0	3082	280	2
3583	256	0	3291	286	1
3839	256	0	3515	291	1
4095	256	0	3785	294	3
0	512	0	0	466	7
256	512	0	248	469	7
512	512	0	499	472	7
768	512	0	736	476	8
1024	512	0	981	479	8
1280	512	0	1216	485	7
1536	512	0	1454	488	7
1792	512	0	1676	493	8
2048	512	0	1915	498	7
2303	512	0	2157	502	7
2559	512	0	2384	506	8
2815	512	0	2618	511	8
3071	512	0	2845	515	7
3327	512	0	3089	519	7
3583	512	0	3300	524	5
3839	512	0	3527	529	8
4095	512	0	3800	531	9
0	768	0	0	698	11
256	768	0	251	701	13
512	768	0	504	704	13
768	768	0	740	708	12
1024	768	0	984	712	12
1280	768	0	1221	717	13
1536	768	0	1459	720	12
1792	768	0	1680	725	13
2048	768	0	1919	730	12
2303	768	0	2161	734	13
2559	768	0	2388	738	13
2815	768	0	2620	744	12
3071	768	0	2849	748	13
3327	768	0	3089	752	12
3583	768	0	3302	758	13
3839	768	0	3525	763	14
4095	768	0	3804	764	13
0	1024	0	1	938	15
256	1024	0	253	941	17
512	1024	0	505	945	17
768	1024	0	744	948	18
1024	1024	0	990	951	19
1280	1024	0	1228	956	18
1536	1024	0	1464	960	19
1792	1024	0	1683	966	19
2048	1024	0	1925	970	20
2303	1024	0	2170	974	19
2559	1024	0	2393	979	18
2815	1024	0	2629	983	19
3071	1024	0	2859	987	19
3327	1024	0	3100	991	18
3583	1024	0	3311	997	19
3839	1024	0	3538	1002	20
4095	1024	0	3810	1005	21
0	1280	0	3	1177	19
256	1280	0	258	1181	21
512	1280	0	509	1184	21
768	1280	0	749	1188	22
1024	1280	0	994	1191	22
1280	1280	0	1231	1196	22
1536	1280	0	1468	1199	22
1792	1280	0	1687	1206	23
2048	1280	0	1927	1210	24
2303	1280	0	2174	1214	23
2559	1280	0	2400	1218	24
2815	1280	0	2635	1223	24
3071	1280	0	2866	1227	25
3327	1280	0	3106	1231	23
3583	1280	0	3322	1236	23
3839	1280	0	3544	1242	26
4095	1280	0	3818	1244	26
0	1536	0	5	1414	23
256	1536	0	260	1418	26
512	1536	0	512	1421	26
768	1536	0	751	1425	26
1024	1536	0	997	1428	28
1280	1536	0	1237	1433	28
1536	1536	0	1473	1436	27
1792	1536	0	1694	1442	28
2048	1536	0	1932	1447	28
2303	1536	0	2172	1452	28
2559	1536	0	2399	1456	29
2815	1536	0	2635	1461	28
3071	1536	0	2865	1465	30
3327	1536	0	3107	1469	28
3583	1536	0	3322	1475	29
3839	1536	0	3547	1480	32
4095	1536	0	3822	1482	32
0	1792	0	7	1647	27
256	1792	0	262	1651	30
512	1792	0	514	1654	29
768	1792	0	754	1657	30
1024	1792	0	998	1661	30
1280	1792	0	1240	1665	31
1536	1792	0	1475	1668	31
1792	1792	0	1695	1675	31
2048	1792	0	1931	1680	32
2303	1792	0	2177	1684	31
2559	1792	0	2404	1688	31
2815	1792	0	2639	1693	32
3071	1792	0	2866	1696	33
3327	1792	0	3114	1700	33
3583	1792	0	3324	1707	32
3839	1792	0	3548	1711	34
4095	1792	0	3826	1714	32
0	2048	0	9	1897	31
256	2048	0	265	1901	33
512	2048	0	519	1904	33
768	2048	0	758	1908	34
1024	2048	0	1004	1911	34
1280	2048	0	1245	1915	36
1536	2048	0	1479	1919	34
1792	2048	0	1697	1925	35
2048	2048	0	1936	1930	36
2303	2048	0	2183	1934	36
2559	2048	0	2411	1938	37
2815	2048	0	2644	1943	37
3071	2048	0	2873	1947	38
3327	2048	0	3116	1951	36
3583	2048	0	3331	1956	38
3839	2048	0	3556	1961	39
4095	2048	0	3825	1965	40
0	2303	0	11	2162	34
256	2303	0	266	2166	37
512	2303	0	521	2169	38
768	2303	0	760	2173	37
1024	2303	0	1006	2176	39
1280	2303	0	1245	2181	38
1536	2303	0	1484	2184	39
1792	2303	0	1701	2190	40
2048	2303	0	1942	2195	40
2303	2303	0	2188	2199	40
2559	2303	0	2415	2203	40
2815	2303	0	2649	2208	41
3071	2303	0	2876	2212	39
3327	2303	0	3122	2215	42
3583	2303	0	3334	2221	38
3839	2303	0	3563	2225	42
